id,content and task fulfillment ,structure and essay development ,language use ,total 
ARG-CZH_26_1,9.33,5.33,6.00,20.67
ARG-CZH_26_2,9.00,4.67,5.00,18.67
ARG-CZH_26_3,8.67,5.67,5.00,19.33
ARG-CZH_27_1,6.67,3.33,4.67,14.67
ARG-CZH_27_2,7.33,5.00,6.00,18.33
ARG-CZH_27_3,7.67,4.33,5.67,17.67
ARG-CZH_28_1,9.67,5.67,6.67,22.00
ARG-CZH_28_2,9.00,5.67,6.00,20.67
ARG-CZH_28_3,9.33,5.33,4.67,19.33
ARG-CZH_29_1,5.00,3.33,7.00,15.33
ARG-CZH_29_2,7.67,4.33,5.67,17.67
ARG-CZH_29_3,8.33,5.67,6.00,20.00
ARG-CZH_30_1,8.00,5.00,5.67,18.67
ARG-CZH_30_2,8.67,5.67,6.67,21.00
ARG-CZH_30_3,9.67,5.00,6.00,20.67
ARG-CZH_31_1,7.67,5.00,6.00,18.67
ARG-CZH_31_2,8.00,5.00,4.67,17.67
ARG-CZH_31_3,8.67,7.33,4.00,20.00
ARG-CZH_32_1,8.00,5.00,6.00,19.00
ARG-CZH_32_2,9.33,5.33,4.67,19.33
ARG-CZH_32_3,8.33,5.00,4.67,18.00
ARG-CZH_33_1,8.00,5.00,7.00,20.00
ARG-CZH_33_2,9.67,5.00,5.67,20.33
ARG-CZH_33_3,7.67,6.67,6.00,20.33
ARG-CZH_34_1,8.00,5.00,5.67,18.67
ARG-CZH_34_2,8.67,5.33,6.00,20.00
ARG-CZH_34_3,9.00,4.33,6.33,19.67
ARG-CZH_35_1,9.67,4.33,7.67,21.67
ARG-CZH_35_2,9.33,4.67,4.67,18.67
ARG-CZH_35_3,9.33,5.00,5.00,19.33
ARG-CZH_36_1,8.33,5.00,7.67,21.00
ARG-CZH_36_2,8.33,5.33,5.67,19.33
ARG-CZH_36_3,8.33,4.33,5.67,18.33
ARG-CZH_37_1,9.00,6.67,7.67,23.33
ARG-CZH_37_2,9.00,7.00,6.33,22.33
ARG-CZH_37_3,8.00,6.00,6.00,20.00
ARG-CZH_38_1,8.33,4.67,7.33,20.33
ARG-CZH_38_2,9.00,5.00,6.00,20.00
ARG-CZH_38_3,9.33,8.00,6.33,23.67
ARG-CZH_39_1,9.33,7.33,8.00,24.67
ARG-CZH_39_2,8.33,4.67,6.33,19.33
ARG-CZH_39_3,9.00,4.67,7.00,20.67
ARG-CZH_40_1,7.00,3.67,3.00,13.67
ARG-CZH_40_2,8.67,3.33,4.00,16.00
ARG-CZH_40_3,6.67,4.67,3.67,15.00
ARG-ENG_1_1,9.67,6.33,6.00,22.00
ARG-ENG_1_2,9.67,6.00,8.33,24.00
ARG-ENG_1_3,10.00,8.67,8.67,27.33
ARG-ENG_2_1,9.33,5.67,6.00,21.00
ARG-ENG_2_2,9.00,6.00,5.00,20.00
ARG-ENG_2_3,9.67,5.00,7.00,21.67
ARG-ENG_3_1,9.00,6.00,6.33,21.33
ARG-ENG_3_2,9.67,5.67,6.67,22.00
ARG-ENG_3_3,9.33,6.67,7.00,23.00
ARG-ENG_4_1,10.00,9.00,7.33,26.33
ARG-ENG_4_2,10.00,8.00,8.00,26.00
ARG-ENG_4_3,9.67,7.00,6.67,23.33
ARG-ENG_5_1,9.67,6.67,7.67,24.00
ARG-ENG_5_2,10.00,6.67,8.67,25.33
ARG-ENG_5_3,9.67,5.67,6.00,21.33
ARG-ENG_6_1,10.00,6.67,6.67,23.33
ARG-ENG_6_2,9.67,5.67,6.33,21.67
ARG-ENG_6_3,9.67,6.00,5.67,21.33
ARG-ENG_7_1,8.33,5.67,5.33,19.33
ARG-ENG_7_2,9.33,5.33,6.33,21.00
ARG-ENG_7_3,9.67,7.00,6.33,23.00
ARG-ENG_8_1,8.67,4.67,6.33,19.67
ARG-ENG_8_2,9.33,7.00,5.00,21.33
ARG-ENG_8_3,9.33,6.67,6.00,22.00
ARG-ENG_9_1,8.67,5.00,4.67,18.33
ARG-ENG_9_2,8.33,6.33,5.00,19.67
ARG-ENG_9_3,10.00,6.67,7.67,24.33
ARG-ENG_10_1,9.00,6.67,5.67,21.33
ARG-ENG_10_2,8.67,8.00,5.00,21.67
ARG-ENG_10_3,9.33,6.00,6.33,21.67
ARG-ENG_11_1,9.33,3.67,4.00,17.00
ARG-ENG_11_2,9.33,6.33,5.00,20.67
ARG-ENG_11_3,9.33,5.67,5.33,20.33
ARG-ENG_12_1,9.00,4.00,3.67,16.67
ARG-ENG_12_2,8.67,5.67,4.67,19.00
ARG-ENG_12_3,9.67,5.67,4.33,19.67
ARG-ENG_13_1,9.00,3.67,3.33,16.00
ARG-ENG_13_2,9.00,4.33,5.00,18.33
ARG-ENG_13_3,9.00,3.67,4.00,16.67
ARG-ENG_14_1,8.67,4.67,5.00,18.33
ARG-ENG_14_2,9.00,4.67,6.33,20.00
ARG-ENG_14_3,8.67,6.33,5.33,20.33
ARG-ENG_15_1,5.33,2.67,2.67,10.67
ARG-ENG_15_2,8.33,5.33,3.67,17.33
ARG-ENG_15_3,7.33,4.00,3.67,15.00
ARG-ENG_16_1,9.33,7.00,7.00,23.33
ARG-ENG_16_2,8.33,6.67,6.33,21.33
ARG-ENG_16_3,8.33,5.67,5.67,19.67
ARG-ENG_17_1,9.00,6.67,7.33,23.00
ARG-ENG_17_2,8.67,6.00,7.00,21.67
ARG-ENG_17_3,8.00,4.00,5.33,17.33
ARG-ENG_18_1,9.00,6.67,6.00,21.67
ARG-ENG_18_2,7.00,6.33,5.33,18.67
ARG-ENG_18_3,8.67,6.00,5.67,20.33
ARG-ENG_19_1,9.33,7.33,8.00,24.67
ARG-ENG_19_2,8.00,6.33,5.67,20.00
ARG-ENG_19_3,9.67,8.00,7.33,25.00
ARG-ENG_20_1,9.00,8.67,8.67,26.33
ARG-ENG_20_2,8.33,6.33,8.00,22.67
ARG-ENG_20_3,9.33,5.00,6.33,20.67
ARG-ENG_21_1,9.00,7.67,7.33,24.00
ARG-ENG_21_2,6.67,8.00,6.67,21.33
ARG-ENG_21_3,9.33,6.33,6.33,22.00
ARG-ENG_22_1,9.33,5.67,8.33,23.33
ARG-ENG_22_2,7.67,7.00,7.00,21.67
ARG-ENG_22_3,10.00,6.67,6.00,22.67
ARG-ENG_23_1,9.00,5.67,7.33,22.00
ARG-ENG_23_2,8.00,6.33,6.33,20.67
ARG-ENG_23_3,9.00,6.33,5.00,20.33
ARG-ENG_24_1,8.67,4.67,6.33,19.67
ARG-ENG_24_2,8.33,4.00,4.67,17.00
ARG-ENG_24_3,9.00,5.33,3.00,17.33
ARG-ENG_25_1,8.67,7.33,5.67,21.67
ARG-ENG_25_2,8.33,5.33,6.33,20.00
ARG-ENG_25_3,9.00,6.00,5.67,20.67
ARG-ENG_26_1,9.00,8.67,8.00,25.67
ARG-ENG_26_2,10.00,8.67,7.33,26.00
ARG-ENG_26_3,9.67,8.67,7.33,25.67
ARG-ENG_28_1,8.00,5.33,6.33,19.67
ARG-ENG_28_2,7.67,6.33,6.67,20.67
ARG-ENG_28_3,9.67,6.67,5.33,21.67
ARG-ENG_29_1,9.00,9.00,6.67,24.67
ARG-ENG_29_2,8.67,5.33,5.67,19.67
ARG-ENG_29_3,9.33,6.00,4.67,20.00
ARG-ENG_30_1,9.00,7.00,6.33,22.33
ARG-ENG_30_2,8.00,6.00,4.33,18.33
ARG-ENG_30_3,9.67,6.33,4.33,20.33
ARG-ENG_31_1,8.33,5.00,5.67,19.00
ARG-ENG_31_2,8.00,6.00,5.33,19.33
ARG-ENG_31_3,8.67,5.67,5.33,19.67
ARG-ENG_32_1,8.00,5.00,4.33,17.33
ARG-ENG_32_2,9.00,5.33,6.33,20.67
ARG-ENG_32_3,9.33,4.00,5.33,18.67
ARG-ENG_33_1,9.33,6.67,7.67,23.67
ARG-ENG_33_2,10.00,8.33,8.33,26.67
ARG-ENG_33_3,9.67,7.00,7.00,23.67
ARG-ENG_34_1,8.33,5.00,5.33,18.67
ARG-ENG_34_2,9.33,6.33,8.00,23.67
ARG-ENG_34_3,9.67,5.00,5.33,20.00
ARG-ENG_35_1,8.33,5.67,5.00,19.00
ARG-ENG_35_2,8.33,6.00,5.33,19.67
ARG-ENG_35_3,8.67,5.67,4.00,18.33
ARG-ENG_36_1,8.67,6.33,6.67,21.67
ARG-ENG_36_2,9.00,7.00,5.67,21.67
ARG-ENG_36_3,9.33,3.67,4.67,17.67
ARG-ENG_37_1,9.00,7.00,8.67,24.67
ARG-ENG_37_2,9.67,8.67,8.33,26.67
ARG-ENG_37_3,10.00,8.67,7.67,26.33
ARG-ENG_38_1,6.67,3.67,4.33,14.67
ARG-ENG_38_2,7.67,6.33,6.00,20.00
ARG-ENG_38_3,7.67,3.67,4.67,16.00
ARG-ENG_39_1,9.00,5.33,6.67,21.00
ARG-ENG_39_2,9.00,5.33,6.00,20.33
ARG-ENG_39_3,9.67,5.67,5.33,20.67
ARG-ENG_40_1,8.33,4.00,6.00,18.33
ARG-ENG_40_2,9.33,9.00,7.67,26.00
ARG-ENG_40_3,10.00,7.00,6.67,23.67
ARG-JPN_1_1,9.00,8.33,9.00,26.33
ARG-JPN_1_2,8.33,7.33,9.00,24.67
ARG-JPN_1_3,8.33,9.33,8.67,26.33
ARG-JPN_2_1,9.00,7.67,8.33,25.00
ARG-JPN_2_2,9.33,9.33,6.67,25.33
ARG-JPN_2_3,9.67,9.00,7.00,25.67
ARG-JPN_3_1,9.00,8.33,8.00,25.33
ARG-JPN_3_2,9.67,8.33,7.33,25.33
ARG-JPN_3_3,9.33,8.00,5.67,23.00
ARG-JPN_4_1,9.00,8.67,6.33,24.00
ARG-JPN_4_2,9.00,5.00,5.67,19.67
ARG-JPN_4_3,8.67,6.00,3.67,18.33
ARG-JPN_5_1,9.00,8.33,9.00,26.33
ARG-JPN_5_2,8.67,7.33,8.33,24.33
ARG-JPN_5_3,9.33,9.33,9.33,28.00
ARG-JPN_6_1,9.00,8.00,6.67,23.67
ARG-JPN_6_2,9.33,8.00,7.33,24.67
ARG-JPN_6_3,9.67,7.67,6.67,24.00
ARG-JPN_7_1,8.33,7.67,5.33,21.33
ARG-JPN_7_2,9.67,8.67,7.33,25.67
ARG-JPN_7_3,9.67,9.00,8.33,27.00
ARG-JPN_8_1,8.00,5.00,4.33,17.33
ARG-JPN_8_2,7.67,7.00,5.00,19.67
ARG-JPN_8_3,8.00,6.00,5.67,19.67
ARG-JPN_9_1,7.00,4.67,7.00,18.67
ARG-JPN_9_2,9.33,8.00,7.33,24.67
ARG-JPN_9_3,9.33,7.33,7.67,24.33
ARG-JPN_10_1,8.33,9.33,8.67,26.33
ARG-JPN_10_2,9.67,9.33,8.33,27.33
ARG-JPN_10_3,10.00,8.67,7.67,26.33
ARG-JPN_11_1,7.00,6.33,4.67,18.00
ARG-JPN_11_2,8.67,5.00,6.00,19.67
ARG-JPN_11_3,9.33,5.33,5.67,20.33
ARG-JPN_12_1,8.33,6.00,7.00,21.33
ARG-JPN_12_2,9.00,8.00,8.00,25.00
ARG-JPN_12_3,8.67,8.00,8.00,24.67
ARG-JPN_13_1,9.33,9.00,7.00,25.33
ARG-JPN_13_2,9.67,8.33,7.33,25.33
ARG-JPN_13_3,9.67,9.00,8.33,27.00
ARG-JPN_14_1,8.67,3.00,6.33,18.00
ARG-JPN_14_2,8.33,5.00,6.33,19.67
ARG-JPN_14_3,8.33,5.00,5.33,18.67
ARG-JPN_15_1,7.00,5.33,4.67,17.00
ARG-JPN_15_2,8.67,6.67,5.67,21.00
ARG-JPN_15_3,6.67,3.33,5.33,15.33
ARG-JPN_16_1,5.67,4.00,5.00,14.67
ARG-JPN_16_2,6.33,6.00,5.67,18.00
ARG-JPN_16_3,8.00,7.00,6.33,21.33
ARG-JPN_17_1,8.33,6.00,7.00,21.33
ARG-JPN_17_2,8.33,8.00,6.00,22.33
ARG-JPN_17_3,8.67,8.00,8.67,25.33
ARG-JPN_18_1,8.67,6.67,6.67,22.00
ARG-JPN_18_2,8.67,9.33,7.00,25.00
ARG-JPN_18_3,9.00,7.67,5.00,21.67
ARG-JPN_19_1,8.67,9.00,5.67,23.33
ARG-JPN_19_2,10.00,9.33,8.00,27.33
ARG-JPN_19_3,10.00,8.67,7.00,25.67
ARG-JPN_20_1,8.33,7.00,5.67,21.00
ARG-JPN_20_2,9.00,6.67,7.67,23.33
ARG-JPN_20_3,9.00,6.67,3.67,19.33
ARG-JPN_21_1,9.33,9.00,7.00,25.33
ARG-JPN_21_2,9.67,8.33,8.00,26.00
ARG-JPN_21_3,10.00,8.33,7.33,25.67
ARG-JPN_22_1,7.67,6.33,8.67,22.67
ARG-JPN_22_2,8.00,7.33,8.33,23.67
ARG-JPN_22_3,8.67,7.67,9.00,25.33
ARG-JPN_23_1,9.33,9.67,7.67,26.67
ARG-JPN_23_2,9.33,8.00,8.67,26.00
ARG-JPN_23_3,8.33,8.00,7.00,23.33
ARG-JPN_24_1,9.00,9.00,7.33,25.33
ARG-JPN_24_2,9.33,8.33,7.67,25.33
ARG-JPN_24_3,9.33,8.67,6.00,24.00
ARG-JPN_25_1,6.67,5.67,6.00,18.33
ARG-JPN_25_2,6.00,7.00,5.00,18.00
ARG-JPN_25_3,6.00,6.33,5.00,17.33
ARG-JPN_26_1,9.00,6.67,5.00,20.67
ARG-JPN_26_2,9.67,7.67,6.00,23.33
ARG-JPN_26_3,9.67,8.00,6.00,23.67
ARG-JPN_27_1,6.33,5.33,5.33,17.00
ARG-JPN_27_2,8.33,7.33,5.33,21.00
ARG-JPN_27_3,8.33,8.33,6.67,23.33
ARG-JPN_28_1,8.67,6.00,4.67,19.33
ARG-JPN_28_2,9.33,7.67,5.33,22.33
ARG-JPN_28_3,9.00,7.00,4.33,20.33
ARG-JPN_29_1,8.00,3.33,5.33,16.67
ARG-JPN_29_2,8.33,6.33,6.67,21.33
ARG-JPN_29_3,8.33,6.67,6.00,21.00
ARG-JPN_30_1,5.33,6.00,4.33,15.67
ARG-JPN_30_2,6.00,6.33,5.00,17.33
ARG-JPN_30_3,6.67,6.00,4.33,17.00
ARG-JPN_31_1,9.00,7.00,7.67,23.67
ARG-JPN_31_2,9.67,9.33,8.67,27.67
ARG-JPN_31_3,9.67,8.67,8.33,26.67
ARG-JPN_32_1,8.67,8.00,5.00,21.67
ARG-JPN_32_2,9.67,7.67,7.33,24.67
ARG-JPN_32_3,8.33,8.67,4.67,21.67
ARG-JPN_33_1,9.00,7.33,6.00,22.33
ARG-JPN_33_2,8.67,8.00,6.67,23.33
ARG-JPN_33_3,9.67,9.33,5.00,24.00
ARG-JPN_34_1,9.33,7.33,7.67,24.33
ARG-JPN_34_2,9.00,8.00,7.67,24.67
ARG-JPN_34_3,9.00,7.67,5.67,22.33
ARG-JPN_35_1,5.67,4.33,4.33,14.33
ARG-JPN_35_2,6.33,6.33,4.67,17.33
ARG-JPN_35_3,6.67,7.33,4.67,18.67
ARG-JPN_36_1,9.00,9.00,7.67,25.67
ARG-JPN_36_2,9.67,8.67,8.67,27.00
ARG-JPN_36_3,9.00,8.67,9.33,27.00
ARG-JPN_37_1,9.33,7.67,7.33,24.33
ARG-JPN_37_2,9.00,9.00,8.67,26.67
ARG-JPN_37_3,9.67,9.67,9.00,28.33
ARG-JPN_38_1,7.00,6.00,5.67,18.67
ARG-JPN_38_2,7.67,7.67,6.67,22.00
ARG-JPN_38_3,8.33,8.67,5.33,22.33
ARG-JPN_39_1,9.00,8.67,8.00,25.67
ARG-JPN_39_2,9.33,9.00,8.00,26.33
ARG-JPN_39_3,9.67,9.00,9.00,27.67
ARG-JPN_40_1,10.00,9.33,9.00,28.33
ARG-JPN_40_2,10.00,10.00,8.00,28.00
ARG-JPN_40_3,9.67,9.33,9.33,28.33
ARG-JPN_41_1,8.67,6.00,7.67,22.33
ARG-JPN_41_2,8.00,8.00,8.67,24.67
ARG-JPN_41_3,9.67,9.33,9.00,28.00
ARG-JPN_42_1,9.33,7.33,6.00,22.67
ARG-JPN_42_2,7.67,8.33,8.00,24.00
ARG-JPN_42_3,8.33,9.00,7.67,25.00
